EBI Biomes	environmental feature	environmental material	biome	quality	GOLD Path > delim
Acidic	http://purl.obolibrary.org/obo/ENVO_00002120		http://purl.obolibrary.org/obo/ENVO_01000305	http://purl.obolibrary.org/obo/PATO_0001844	root > Environmental > Aquatic > Thermal springs > Hot (42-90C) > Acidic
Alkaline	http://purl.obolibrary.org/obo/ENVO_00002119		http://purl.obolibrary.org/obo/ENVO_01000305	http://purl.obolibrary.org/obo/PATO_0001430	root > Environmental > Aquatic > Thermal springs > Hot (42-90C) > Alkaline
Neutral	http://purl.obolibrary.org/obo/ENVO_00002181		http://purl.obolibrary.org/obo/ENVO_01000305	http://purl.obolibrary.org/obo/PATO_0045002	root > Environmental > Aquatic > Thermal springs > Hot (42-90C) > Neutral
Sediment		http://purl.obolibrary.org/obo/ENVO_00002007	http://purl.obolibrary.org/obo/ENVO_01000305		root > Environmental > Aquatic > Thermal springs > Hot (42-90C) > Sediment
Near-boiling (>90C)			http://purl.obolibrary.org/obo/ENVO_01000318	http://purl.obolibrary.org/obo/PATO_0001317	root > Environmental > Aquatic > Thermal springs > Near-boiling (>90C)
Alkaline	http://purl.obolibrary.org/obo/ENVO_00002119		http://purl.obolibrary.org/obo/ENVO_01000318	http://purl.obolibrary.org/obo/PATO_0001430	root > Environmental > Aquatic > Thermal springs > Near-boiling (>90C) > Alkaline
Sediment		http://purl.obolibrary.org/obo/ENVO_00002007	http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic > Thermal springs > Sediment
Tepid (25-34C)			http://purl.obolibrary.org/obo/ENVO_00002030	http://purl.obolibrary.org/obo/PATO_0001315	root > Environmental > Aquatic > Thermal springs > Tepid (25-34C)
Sediment		http://purl.obolibrary.org/obo/ENVO_00002007	http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic > Thermal springs > Tepid (25-34C) > Sediment
Warm (34-42C)				http://purl.obolibrary.org/obo/PATO_0001316	root > Environmental > Aquatic > Thermal springs > Warm (34-42C)
